account_id,status,cos,rim_age,loan,s_plus_c,fico_b,ck_returns,max_days_neg,num_times_neg,ntriggers,avg_bal6,avg_bal3
FjWHEBLtghQ7,Closed,1,4,0,0,761,NA,0,0,0,NA,NA
NY9sb3zWSC7L,Closed,1,41,0,1,766,NA,0,0,0,NA,NA
CsgsApaKRyUc,Closed,1,42,0,1,636,NA,1,1,2,NA,NA
xtDoVry22KCc,Closed,1,42,0,1,507,NA,74,12,7,NA,NA
AY1ULa7dimU5,Closed,1,41,0,1,471,NA,1,3,2,NA,NA
xFJWhzyHMAag,Closed,1,41,0,0,504,NA,6,6,0,NA,NA
jDZl87Ln9VPY,Closed,1,41,0,1,548,NA,0,0,3,NA,NA
yvdnAXzIejwF,Closed,1,41,0,1,582,NA,7,1,0,NA,NA
zkjqWY66c9vL,Closed,1,40,0,1,676,NA,1,1,0,NA,NA
IgXfnt9RyOP1,Closed,1,40,0,1,600,NA,0,0,0,NA,NA
E1Kp8gJ4V6zj,Closed,1,40,0,0,645,NA,0,0,0,NA,NA
Ki2fKYPxILR0,Closed,1,40,0,1,548,NA,5,25,3,NA,NA
G7I2jkpCFCAP,Closed,1,40,0,1,588,NA,6,2,6,NA,NA
whvoRXqBrTd5,Closed,1,40,1,1,725,NA,53,5,8,3,2
BgX5yUa7bWLk,Closed,1,40,0,0,522,NA,1,1,8,NA,NA
N0WSlswOcbc7,Closed,1,40,0,1,597,NA,9,12,9,NA,NA
7knKJzyj0yON,Closed,1,40,0,1,648,NA,2,1,0,NA,NA
Ygn2RUK0NuVf,Closed,1,39,0,1,540,NA,12,7,0,NA,NA
jdhN7yFKo70u,Closed,1,39,0,1,472,NA,11,8,2,NA,NA
gepB4OwkaARN,Closed,1,39,0,0,460,NA,33,30,8,NA,NA
jIFv5vYrsNLC,Closed,1,39,0,0,661,NA,0,0,0,NA,NA
5QBbXdMKADwS,Closed,1,38,0,0,492,NA,3,2,6,5,5
fVBXTN5043Lp,Closed,1,38,0,1,585,1,29,25,0,NA,NA
QIopgT6Jgg5E,Closed,1,38,0,1,0,NA,31,58,0,-417,-331
cPSAL5UNws3m,Closed,1,38,0,1,497,2,10,3,1,NA,NA
rG3LYLlVZTwP,Closed,1,38,0,1,477,NA,31,30,8,NA,NA
ongiywzCh6JW,Closed,1,38,0,1,582,3,2,2,7,NA,NA
KR25laVPypwk,Closed,1,37,0,1,569,1,21,9,1,NA,NA
ZfmEJiMwhXEM,Closed,1,37,0,1,505,NA,0,0,1,NA,NA
CTqPj0nujTC1,Closed,1,36,0,1,636,NA,36,1,0,NA,NA
rDZWekDF47u5,Closed,1,36,0,1,549,NA,0,0,0,NA,NA
gV17YioSIieA,Closed,1,36,0,1,503,NA,15,31,9,NA,NA
WBwM1qyCp6v8,Closed,1,35,0,1,527,NA,17,4,1,NA,NA
WNZcKkQdMUeT,Closed,1,35,0,1,559,NA,59,3,3,NA,NA
mocuWyvsQZGJ,Closed,1,34,0,1,535,4,43,7,0,NA,NA
sBlR434Ry4IQ,Closed,1,33,0,1,640,NA,11,14,4,10,10
qwpBtCbJoRHN,Closed,1,33,0,1,501,NA,18,2,1,NA,NA
ZGU253E7qo6E,Closed,1,33,0,1,555,NA,38,3,4,NA,NA
4XRjyjDakVpe,Closed,1,33,0,1,513,NA,43,2,0,NA,NA
BcgrnIUrFurn,Closed,1,33,0,0,585,NA,1,2,0,NA,NA
lR2YYAGigV2J,Closed,1,33,0,1,638,1,37,7,5,NA,NA
twtLBJOc73ug,Closed,1,32,0,1,600,NA,3,3,0,NA,NA
K5C0wvDtOlC6,Closed,1,32,0,1,542,NA,5,2,0,NA,NA
XwaASJaWV2aM,Closed,1,31,0,1,524,NA,4,3,3,5,5
Rs5OxbVBaJfR,Closed,1,31,0,1,523,NA,42,43,5,-141,57
RxDcPweWeYZu,Closed,1,30,0,1,536,NA,13,7,1,NA,NA
VHtXn6koUe0U,Closed,1,36,0,1,589,NA,0,0,3,NA,NA
xOGtnNwOdNe1,Closed,1,42,0,1,523,3,17,11,6,NA,NA
NGo2rCtm5wZK,Closed,1,41,0,0,617,NA,6,11,2,NA,NA
vRY3eoIWImb6,Closed,1,41,0,1,539,2,10,3,0,NA,NA
Kfh4EDmY3USi,Closed,1,41,0,1,658,NA,30,6,2,NA,NA
M7EMvQHVybvR,Closed,1,41,0,1,581,NA,85,1,0,NA,NA
UeohADXJmW6H,Closed,1,41,0,1,602,NA,1,1,1,NA,NA
Vx66S2zLSej8,Closed,1,41,0,1,530,NA,0,0,0,NA,NA
e48MVqYiQXxd,Closed,1,41,0,1,529,NA,0,0,0,NA,NA
cwSrah5vgA2G,Closed,1,40,0,1,704,NA,3,1,0,NA,NA
Hg8PakRcbt26,Closed,1,40,0,1,512,NA,62,39,4,NA,NA
6W9rIvYoavmq,Closed,1,40,0,1,610,NA,0,0,1,NA,NA
ZtUcYe5plxdl,Closed,1,40,0,0,460,NA,68,10,2,NA,NA
RPwNyJHRPPbg,Closed,1,40,0,1,564,NA,0,0,1,NA,NA
hwPE7QDNFXlI,Closed,1,39,0,1,665,NA,1,1,2,NA,NA
kcnKU2afSAkq,Closed,1,39,0,1,661,NA,0,0,0,NA,NA
6mSilHV8RsBr,Closed,1,39,0,1,533,NA,38,8,0,NA,NA
f8GmuOEtLn0d,Closed,1,39,0,1,623,NA,18,6,3,NA,NA
MX8DLrr2UBwq,Closed,1,39,0,1,553,2,42,3,3,NA,NA
AnjxA5InsXrt,Closed,1,39,0,1,671,NA,39,12,1,NA,NA
TJ48lubWa0Yt,Closed,1,38,0,1,488,NA,12,1,0,NA,NA
ovCPZDchhDnw,Closed,1,38,0,0,643,NA,1,1,0,NA,NA
rQCq7SNMD8HC,Closed,1,38,0,1,527,NA,14,27,5,NA,NA
9V1gLiBBrm5n,Closed,1,38,0,0,585,NA,7,3,4,NA,NA
lJVsC7RD9Mai,Closed,1,38,0,1,0,NA,67,12,0,6,6
7in8NWXx0EKV,Closed,1,38,0,1,639,NA,9,3,0,NA,NA
PcvSVcyWKpqs,Closed,1,37,0,1,579,NA,37,12,5,-98,NA
oRekxXMoqIgs,Closed,1,37,0,1,498,NA,3,1,2,NA,NA
uwipbqpjYaIw,Closed,1,37,0,1,608,NA,23,7,4,NA,NA
ONarhXSWRVro,Closed,1,36,0,1,547,NA,8,2,0,NA,NA
92P1qS2hBwnt,Closed,1,35,0,1,588,NA,26,6,3,NA,NA
v0EJlGLFkp8p,Closed,1,35,0,1,475,NA,41,4,2,NA,NA
cBaClnmlboKX,Closed,1,35,0,1,577,NA,45,4,1,NA,NA
WelRRBPT02Zl,Closed,1,34,0,0,423,NA,2,4,3,NA,NA
lgGeFXy4Y1tM,Closed,1,34,0,0,550,NA,5,15,5,NA,NA
GZ3w7slcqiu9,Closed,1,34,0,1,659,4,85,3,0,NA,NA
93WjCtTNUvWd,Closed,1,33,0,0,595,NA,4,9,5,NA,NA
Ib0E8h2a1W7V,Closed,1,33,0,1,485,NA,8,19,5,NA,NA
HEdEShON35Vo,Closed,1,33,0,1,597,NA,1,1,0,NA,NA
Kzb2lheU7iYU,Closed,1,33,0,1,489,NA,0,0,3,NA,NA
eN8gvxEybSDf,Closed,1,33,0,1,531,NA,5,1,4,NA,NA
xIfMKdSYVt96,Closed,1,31,0,0,454,NA,56,6,3,NA,NA
19Zvb7I73VXx,Closed,1,31,0,0,480,NA,0,0,6,NA,NA
6rzbNYGS1g4Q,Closed,1,31,0,1,582,NA,49,2,5,6,6
gnBXqscl6WTP,Closed,1,30,0,1,555,1,4,1,0,NA,NA
3FfTkKlCWJ1n,Closed,1,30,0,1,505,NA,1,1,2,NA,NA
4gr7HnhDkeTi,Closed,1,26,0,0,571,NA,0,0,1,NA,NA
LC4f8AfopioI,Closed,1,38,0,1,604,NA,0,0,1,NA,NA
IDP9YjEZ0CMF,Closed,1,20,0,1,460,NA,0,0,16,NA,NA
LVutviOMKhtP,Closed,1,42,0,1,505,NA,9,7,7,NA,NA
0YKdiTyHiyCG,Closed,1,42,0,1,553,1,12,2,2,NA,NA
bajkyCuDdFwL,Closed,1,41,0,1,625,NA,7,1,0,NA,NA
DwNLlZbMlx6M,Closed,1,40,0,1,618,1,32,8,0,NA,NA
Q1BxjfECXGT5,Closed,1,40,1,1,662,NA,0,0,0,NA,NA
ORBsQVwl3clZ,Closed,1,40,0,1,800,NA,88,3,0,NA,NA
jhGW6EkTqed2,Closed,1,40,0,1,606,NA,18,6,2,NA,NA
hYg9hvmews9K,Closed,1,40,0,1,575,7,57,15,0,NA,NA
tVqnfUzi7YSm,Closed,1,40,0,1,483,NA,3,2,1,NA,NA
z1i43APcOEVv,Closed,1,40,0,1,456,NA,28,3,6,NA,NA
Xw2XnJtT5oUl,Closed,1,39,0,1,561,NA,6,1,0,414,414
6L8sDPtdobtY,Closed,1,39,0,1,660,NA,10,3,0,NA,NA
z8GO2jjGeepV,Closed,1,39,0,1,617,3,0,0,0,NA,NA
3ynSvxo69MWN,Closed,1,39,1,1,0,1,41,17,3,-45,5
IDiCvctb29FF,Closed,1,39,0,1,571,NA,1,1,0,NA,NA
q5jtOB7InMyW,Closed,1,8,0,1,609,NA,34,2,0,NA,NA
Ak1CQeg1pB3z,Closed,1,38,0,0,478,NA,5,3,7,NA,NA
W6VnMU9AgzHl,Closed,1,38,0,1,529,NA,27,41,3,NA,NA
KS2ypcT0f7ue,Closed,1,38,0,0,728,NA,0,0,7,NA,NA
AFPgTkTEHmlo,Closed,1,37,0,0,644,NA,14,36,0,NA,NA
4Y2Xwi5J2ObG,Closed,1,36,0,1,596,NA,4,1,0,NA,NA
RgvEJf3b9Dw3,Closed,1,36,0,1,656,NA,16,2,0,NA,NA
FAcvDZozSl1G,Closed,1,36,0,1,712,NA,27,4,0,NA,NA
rabBurL6HiwG,Closed,1,32,0,1,552,NA,21,9,0,NA,NA
UuYw9WYIbBIK,Closed,1,35,0,1,513,1,0,0,5,NA,NA
vN4x86DyKS3Q,Closed,1,34,0,1,508,NA,16,9,1,-106,-190
asq4dNMfzFpp,Closed,1,34,0,1,440,NA,28,17,4,NA,NA
Z5EXIiYXFudp,Closed,1,34,0,1,525,NA,93,24,5,NA,NA
7EEtdwP5msDw,Closed,1,34,0,1,586,NA,39,4,2,NA,NA
Zs51OX4u5ru2,Closed,1,34,0,1,470,NA,66,5,3,NA,NA
9CEJTVKEbC3g,Closed,1,34,0,1,504,2,28,24,5,-34,-17
SZouUn0Ia1oG,Closed,1,34,0,0,509,1,2,1,1,NA,NA
wU0gxnQ1rfzx,Closed,1,34,0,1,551,NA,1,1,0,NA,NA
HMqvtvXZFlau,Closed,1,34,0,1,613,2,14,2,0,NA,NA
tuNQJpD2AEFN,Closed,1,33,0,1,588,NA,31,39,3,-187,NA
BB2AakeHI4oc,Closed,1,33,0,1,579,NA,36,18,2,NA,NA
10wVYVd8XmcY,Closed,1,33,0,1,604,NA,135,10,0,NA,NA
9vlwtJCdhpQ2,Closed,1,32,0,1,558,1,30,4,4,-777,NA
pWjC4ctdhmk3,Closed,1,32,0,1,587,NA,16,9,4,NA,NA
u5oPlgabnxJ2,Closed,1,32,0,1,514,NA,2,1,3,NA,NA
n7CAvgfjs92W,Closed,1,32,0,0,469,NA,0,0,3,NA,NA
Ez9g3haHfTLs,Closed,1,30,0,1,616,NA,4,4,1,NA,NA
eNPULBSVm2xI,Closed,1,30,0,1,474,NA,4,1,3,NA,NA
Ndyam4EEE4lI,Closed,1,42,0,1,593,1,91,7,2,NA,NA
uQoBTf6ZT7td,Closed,1,42,0,1,568,NA,10,7,1,NA,NA
m6Di844jd7rl,Closed,1,41,0,1,497,NA,14,12,6,NA,NA
L7aGq8gsjrea,Closed,1,41,0,1,661,NA,0,0,1,NA,NA
NdI1Aa6iVec7,Closed,1,40,1,0,557,NA,29,27,0,NA,NA
M5OK5gaPVsQl,Closed,1,40,0,1,495,NA,14,34,3,NA,NA
H4sLzM2taM9r,Closed,1,40,0,1,610,3,38,4,4,NA,NA
9Rv4sVdQ9Rwk,Closed,1,40,0,1,0,1,14,22,11,-566,-686
itv5VQJnVDOg,Closed,1,39,0,1,700,NA,2,6,2,NA,NA
8lMqorwgqxmS,Closed,1,39,0,1,484,NA,48,36,2,NA,NA
QvXsnMdNSxBN,Closed,1,39,0,1,547,NA,0,0,4,NA,NA
JecmZ0kAJFlC,Closed,1,39,0,1,579,NA,15,12,2,NA,NA
QLdN2kZFof3F,Closed,1,39,0,1,544,NA,1,1,0,NA,NA
pmMdmI5M4j7w,Closed,1,39,0,1,486,1,11,2,1,NA,NA
6Xb0yOlqnz8y,Closed,1,39,0,1,480,NA,6,2,1,NA,NA
HRhBAk28bbXj,Closed,1,38,0,1,526,NA,36,11,1,NA,NA
VZlPKfncBpNL,Closed,1,38,0,1,543,NA,4,2,2,NA,NA
081p1Ex0aaVC,Closed,1,38,0,1,557,NA,7,3,0,NA,NA
uMKcr8lA1sF6,Closed,1,37,0,0,491,NA,1,1,6,NA,NA
ei9eKLEp6VPm,Closed,1,37,0,0,525,NA,0,0,6,6,6
XQ5XlWqzZz9R,Closed,1,37,0,0,600,NA,6,12,6,NA,NA
r1C9Vnq63Kkj,Closed,1,37,0,1,598,1,1,2,0,NA,NA
iy8Nm9rToxS3,Closed,1,36,0,1,474,NA,36,14,4,NA,NA
B0SCvTqfYSTs,Closed,1,34,0,0,476,NA,30,37,6,NA,NA
OwnRbbqNBRkH,Closed,1,34,0,1,596,NA,42,2,1,NA,NA
Hd8tQuimaXxs,Closed,1,34,0,1,532,NA,37,34,7,-299,-239
6IX3RBy32Z9h,Closed,1,34,0,1,526,NA,0,0,2,NA,NA
rJFd2BQmkEq9,Closed,1,33,0,1,535,NA,14,28,2,NA,NA
6lEqCyrWFwgD,Closed,1,32,0,0,0,NA,41,8,2,5,5
2j1mko50H7XZ,Closed,1,32,0,1,549,NA,3,2,0,NA,NA
Sv2P89rwKbpm,Closed,1,31,0,0,526,NA,21,13,7,NA,NA
Z8HAVoJMCgzi,Closed,1,31,0,0,570,NA,2,2,0,NA,NA
asD9fWBX2E8O,Closed,1,31,0,1,512,NA,114,8,8,NA,NA
LSFkLKLwxz3V,Closed,1,31,0,1,542,NA,11,4,1,NA,NA
77W3U89a8uHq,Closed,1,30,0,1,714,1,3,7,0,NA,NA
rqivz0fplzQz,Closed,1,30,0,1,583,NA,27,15,0,NA,NA
IsKdxPxLD8Bn,Closed,1,29,0,1,495,NA,71,29,5,NA,NA
OMp7gWXKSqOE,Closed,1,29,0,1,533,NA,31,6,2,NA,NA
4cin3LbUBKLU,Closed,1,28,0,1,616,NA,5,2,0,NA,NA
pEgwsUQWwBF3,Closed,1,28,0,1,541,NA,0,0,0,NA,NA
EhUVa6vJ5lr7,Closed,1,27,0,0,503,NA,2,2,0,NA,NA
PMCJgzdawp00,Closed,1,27,0,1,781,NA,1,1,0,1606,1606
RAfQXohHHuMn,Closed,1,27,0,1,516,NA,2,2,4,NA,NA
s7z9ph4QGsOE,Closed,1,26,0,0,517,1,27,5,4,NA,NA
2Zk1ivweJvt5,Closed,1,25,0,1,464,NA,85,4,5,NA,NA
dFqN3LTFCYcA,Closed,1,25,0,1,518,1,22,5,0,NA,NA
tRZ0JQKQ6dbU,Closed,1,41,0,1,602,NA,38,2,4,NA,NA
FVxp9CfaRRs1,Closed,1,41,0,0,692,NA,6,9,0,-13,NA
vhbQNlcTnz1Q,Closed,1,41,0,0,633,NA,7,3,4,NA,NA
GBOheu9GhTCE,Closed,1,41,0,1,604,NA,11,6,0,NA,NA
gmVBvIIjmMP1,Closed,1,40,0,1,624,NA,12,3,0,NA,NA
5lSeKErPEAWY,Closed,1,39,0,1,541,NA,1,1,1,NA,NA
NPHQHWSYFb7U,Closed,1,39,0,1,737,NA,5,2,3,30,30
kjABFl0MeHvj,Closed,1,38,0,0,668,NA,0,0,3,NA,NA
WLeWPyHZnyyc,Closed,1,38,0,1,672,NA,0,0,0,NA,NA
