account_id,status,cos,rim_age,loan,s_plus_c,fico_b,ck_returns,max_days_neg,num_times_neg,ntriggers,avg_bal6,avg_bal3,probability_score_n
P65jWY8mZ5tA,Active,0,38,0,0,0,,0,0,0,59437.0,73055.0,0.00013883865904062986
ihKgIeZ3sXc3,Active,0,12,0,0,0,,0,0,0,2401.0,2401.0,1.7539134205435403e-05
9DyC5OwiUcaq,Active,0,37,1,0,0,,0,0,0,5.0,5.0,4.817834633286111e-05
eiSQ7xzmHbbl,Active,0,39,1,0,0,,0,0,0,35135.0,36012.0,5.0198170356452465e-05
EuNN0DY7qg5n,Active,0,39,1,0,0,,0,0,0,35135.0,36012.0,5.0198170356452465e-05
r5YTkfzTIIZD,Active,0,2,1,1,842,,0,0,0,1875.0,3700.0,0.00037134383455850184
P9aothRC4sgB,Active,0,2,1,1,842,,0,0,0,1875.0,3700.0,0.00037134383455850184
AECmhbnk2uNx,Active,0,0,1,1,0,,0,0,0,29.0,20.0,4.786757563124411e-05
Jm4FC7SjiwAY,Active,0,21,1,0,0,,0,0,0,25.0,25.0,1.8140663087251596e-05
BD3H9tsN0vCU,Active,0,14,1,0,0,,0,0,0,6942.0,9824.0,2.6094932763953693e-05
Fh02chJPHM0S,Active,0,14,1,0,0,,0,0,0,6942.0,9824.0,2.6094932763953693e-05
ycn9mcp7jcih,Active,0,8,1,0,0,,0,0,0,5.0,5.0,1.371088728774339e-05
3Y6jVmUixtMp,Active,0,14,1,0,0,,0,0,0,5.0,5.0,2.6094932763953693e-05
8mvhcBuGbSXb,Active,0,33,0,0,0,,0,0,0,5.0,5.0,2.5045115762623027e-05
NTtCpSPVKcLB,Active,0,24,1,0,0,,0,0,0,2466.0,2149.0,1.6026726370910183e-05
ErIFJ6KpKDr5,Active,0,8,1,0,0,,0,0,0,393.0,389.0,1.371088728774339e-05
bYHkzbAasIVI,Active,0,31,1,0,0,,1,2,0,1362.0,1181.0,5.564551611314528e-05
MO2LzHQZUqc8,Active,0,31,1,0,0,,0,0,0,1362.0,1181.0,1.6064122974057682e-05
pMrDYkI25LtS,Active,0,31,1,0,0,,0,0,0,1362.0,1181.0,1.6064122974057682e-05
7q7OcLsk29if,Active,0,7,1,1,0,,0,0,0,16518.0,16568.0,2.7729611247195862e-05
RTUsDvnAFV01,Active,0,7,1,1,0,,0,0,0,16518.0,16568.0,2.7729611247195862e-05
I5TTWRCEobvC,Active,0,9,0,0,0,,0,0,0,50.0,50.0,1.5113675544853322e-05
2841RIB2r1kl,Active,0,24,1,1,0,,0,0,0,18820.0,18211.0,3.4399592550471425e-05
4gEDgF5Zeb6Y,Active,0,24,1,1,0,,0,0,0,18820.0,18211.0,3.4399592550471425e-05
aj8BUF4e2mJS,Active,0,1,0,0,818,,0,0,0,54426.0,70165.0,0.00026856092154048383
I7U2MhzXG8hO,Active,0,41,0,0,0,1.0,0,0,6,1166.0,1320.0,0.0010327878408133984
stKMCyi12pIt,Active,0,42,1,1,779,,0,0,0,8.0,8.0,0.00019076024182140827
1aViumr2l213,Active,0,42,0,0,737,,3,2,0,19259.0,21507.0,0.020483619818180174
kxTgU6e6NVLY,Active,0,42,0,0,737,,0,0,0,19259.0,21507.0,8.332756988238543e-05
4AiY75oKG9lA,Active,0,42,0,0,737,,0,0,0,19259.0,21507.0,8.332756988238543e-05
iUHZs44XsiZX,Active,0,42,1,0,755,,0,0,0,5.0,5.0,8.732036803849041e-05
NDFUDrTM0iKt,Active,0,42,0,1,692,,9,15,0,932.0,1563.0,0.0019372240977836663
Q8rlPizj25X5,Active,0,42,0,1,692,,0,0,0,932.0,1563.0,0.0002776720211841166
ButCQ0ClU9rl,Active,0,42,0,1,748,,0,0,0,34369.0,37609.0,0.0002623078180477023
Iy0dpWE8WOOT,Active,0,42,0,1,748,,0,0,0,34369.0,37609.0,0.0002623078180477023
oERGrclB4IPI,Active,0,42,1,0,803,,0,0,0,90502.0,90649.0,8.732036803849041e-05
kW491Z6d2Rte,Active,0,42,1,0,803,,0,0,0,90502.0,90649.0,8.732036803849041e-05
BiknIg5EN7Es,Active,0,42,1,1,803,,0,0,0,49.0,10.0,0.00019076024182140827
vEV5GOZe1pEi,Active,0,42,0,0,787,,0,0,0,57994.0,60427.0,0.00010911821300396696
ima5tUEtrLcV,Active,0,42,0,0,787,,0,0,0,57994.0,60427.0,0.00010911821300396696
